                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7306,                 2.8925,                  1.663,                0.52711,                0.23125,                0.12137,                0.04853,                 2.0774,                 3.0731,                 1.9335,             0.00047166,             0.00047166,             0.00047166
                      2,                 1.6905,                 2.3193,                  1.576,                0.24577,                0.26577,                0.14441,                0.05206,                 2.2862,                 3.2044,                 2.1114,             0.00093378,             0.00093378,             0.00093378
                      3,                 1.6873,                  2.169,                 1.5729,                0.18769,                0.18789,                0.09466,                0.03635,                  2.427,                 3.9396,                 2.2004,              0.0013877,              0.0013877,              0.0013877
                      4,                 1.6337,                 1.9893,                 1.5354,                0.25682,                 0.3171,                0.20111,                0.08498,                 2.2726,                 2.9542,                 2.0626,              0.0013772,              0.0013772,              0.0013772
                      5,                 1.5592,                  1.837,                 1.5076,                0.21873,                0.34828,                0.15791,                0.06782,                 2.1508,                 3.0477,                  1.996,              0.0013624,              0.0013624,              0.0013624
                      6,                 1.5322,                 1.6832,                 1.4524,                0.36399,                0.29991,                0.23769,                0.10391,                 2.1991,                 2.6233,                 2.0485,              0.0013477,              0.0013477,              0.0013477
                      7,                 1.4171,                  1.516,                  1.407,                0.36713,                 0.3885,                0.25553,                0.11378,                  2.204,                 2.5878,                 2.0365,              0.0013325,              0.0013325,              0.0013325
                      8,                 1.4096,                 1.4644,                 1.3764,                0.52205,                0.30562,                0.25086,                0.12624,                  2.124,                 2.6916,                 2.0059,              0.0013177,              0.0013177,              0.0013177
                      9,                 1.3617,                 1.4196,                 1.3638,                0.42509,                0.38492,                0.29809,                0.15038,                 1.9695,                 2.3647,                 1.8368,              0.0013032,              0.0013032,              0.0013032
                     10,                 1.3229,                   1.36,                 1.3449,                0.38153,                0.39038,                 0.2955,                0.14231,                 1.9808,                  2.302,                 1.8647,              0.0012891,              0.0012891,              0.0012891
                     11,                 1.2943,                  1.307,                 1.3094,                0.51987,                0.34417,                0.31457,                0.14972,                 2.0522,                 2.3958,                 1.8669,              0.0012735,              0.0012735,              0.0012735
                     12,                 1.2425,                 1.2161,                 1.2891,                0.49301,                0.40696,                0.36676,                0.18251,                 1.9846,                 2.1042,                 1.8865,               0.001258,               0.001258,               0.001258
                     13,                 1.2083,                 1.1752,                 1.2515,                 0.4104,                0.47614,                 0.3481,                 0.1669,                 1.9908,                 2.1393,                 1.8237,              0.0012445,              0.0012445,              0.0012445
                     14,                 1.1574,                 1.1218,                 1.2233,                0.39806,                0.42998,                0.34553,                0.17358,                 1.9017,                 2.1307,                 1.7661,              0.0012291,              0.0012291,              0.0012291
                     15,                 1.1657,                 1.1263,                 1.2325,                 0.4645,                 0.4409,                0.37852,                 0.1905,                 1.9008,                 2.0677,                    1.8,              0.0012137,              0.0012137,              0.0012137
                     16,                 1.1282,                 1.0772,                 1.2131,                0.39222,                0.47274,                0.37763,                0.18511,                 1.9234,                 2.0834,                 1.8203,              0.0012008,              0.0012008,              0.0012008
                     17,                 1.1008,                 1.0569,                 1.1961,                 0.3732,                0.44952,                0.33616,                0.17139,                 1.9833,                 2.1388,                   1.86,              0.0011856,              0.0011856,              0.0011856
                     18,                 1.0771,                 1.0229,                 1.1861,                0.43281,                0.44346,                0.38252,                0.20272,                 1.8665,                  1.985,                 1.7666,              0.0011704,              0.0011704,              0.0011704
                     19,                 1.0662,                 1.0274,                  1.178,                0.54236,                0.42235,                0.39999,                0.19434,                 1.9485,                 1.9463,                 1.8068,              0.0011552,              0.0011552,              0.0011552
                     20,                  1.049,                0.97932,                  1.175,                0.42142,                0.46775,                0.37785,                0.18518,                  1.924,                 1.9925,                 1.8265,                0.00114,                0.00114,                0.00114
                     21,                 1.0217,                0.96494,                  1.148,                0.48853,                0.46278,                0.41139,                0.20532,                 1.8672,                  1.955,                 1.7499,              0.0011248,              0.0011248,              0.0011248
                     22,                 1.0056,                0.95136,                 1.1377,                0.46366,                0.51046,                0.42962,                 0.2184,                 1.8271,                 1.9568,                 1.6999,              0.0011129,              0.0011129,              0.0011129
                     23,                0.99015,                0.93672,                 1.1457,                0.50227,                0.44927,                0.40072,                 0.2094,                 1.8811,                 1.9374,                 1.7775,              0.0010979,              0.0010979,              0.0010979
                     24,                0.97726,                0.89814,                  1.129,                0.52848,                0.45123,                0.42796,                0.21178,                 1.8903,                 1.9529,                 1.7392,              0.0010828,              0.0010828,              0.0010828
                     25,                0.95581,                0.87913,                 1.1293,                0.54635,                0.45074,                0.46568,                0.25345,                 1.7954,                 1.8211,                  1.689,              0.0010678,              0.0010678,              0.0010678
